Dataset,r2_score_real,r2_score_synth,rmse_real,rmse_synth,ml_efficiency_gap_percent,ks_statistic_mean,wasserstein_distance,mmd,kl_divergence,js_divergence,swd,correlation_similarity,pairwise_correlation_diff,correlation_distance,dcr_mean,dcr_median,dcr_share,authenticity
adult_numeric,-0.2500±0.1001,-0.4217±0.3248,0.4978±0.0224,0.5284±0.0670,282.1000±334.8400,0.4595±0.0269,8.7955±0.2888,0.0576±0.0057,3.7318±0.3380,0.2259±0.0082,21.6427±1.0615,0.6230±0.0160,3.7696±0.1604,3.7696±0.1604,29.0681±2.1699,32.1159±3.9276,0.3734±0.0780,0.8777±0.0498
bank_marketing,-0.6964±2.1458,-0.4160±0.4780,1.9502±1.1138,2.0346±0.2418,162.0896±113.2627,0.4101±0.0222,219.7829±37.4924,0.0354±0.0198,2.2310±0.7688,0.0864±0.0253,941.2672±206.8404,0.6700±0.0594,1.9799±0.3561,1.9799±0.3561,36.3945±3.7786,28.8626±4.1766,0.4757±0.0222,0.3741±0.0327
california_housing,0.9356±0.0051,0.8832±0.0076,0.5088±0.0199,0.6855±0.0222,5.5988±0.9854,0.1941±0.0171,37.0722±3.8796,0.0206±0.0011,0.4499±0.1655,0.0225±0.0025,153.5635±28.1323,0.7316±0.0456,1.8787±0.3193,1.8787±0.3193,4.3807±0.1855,3.8672±0.1114,0.5156±0.0113,0.3723±0.0199
covertype,0.2381±0.2407,-0.1357±0.2763,0.0906±0.0145,0.1130±0.0263,130.1151±61.8395,0.5836±0.0155,34.8724±1.3693,0.0250±0.0000,0.7736±0.1197,0.0796±0.0070,174.1990±8.5245,0.8210±0.0185,9.4876±0.9818,9.4876±0.9818,183.0557±9.5756,183.7613±9.7956,0.5298±0.0365,0.4981±0.1070
diabetes,-0.4622±0.5102,-0.1252±0.3874,0.0565±0.0069,0.0494±0.0061,367.0852±601.7856,0.3334±0.0176,0.0232±0.0017,0.0163±0.0021,8.3401±0.4809,0.2397±0.0219,0.0304±0.0012,0.3287±0.0419,6.0419±0.3770,6.0419±0.3770,0.0674±0.0028,0.0684±0.0037,0.5008±0.3015,0.6028±0.1603
german_credit,-0.3757±0.2076,-0.1788±0.3040,0.4552±0.0340,0.4236±0.0784,97.3645±18.5162,0.4923±0.0293,214.9295±79.4548,0.1430±0.0634,11.4921±2.5682,0.3929±0.0281,654.4946±237.1251,0.2243±0.1119,4.6544±0.6712,4.6544±0.6712,27.1125±2.9700,18.5191±4.5788,0.3960±0.1690,0.3190±0.1620
king_county_housing,0.6235±0.0631,0.5762±0.0606,16547.1419±2043.3678,17521.8720±1369.0316,14.4930±6.2843,0.3777±0.0123,417.7086±30.7890,0.0170±0.0000,0.4770±0.0550,0.0602±0.0036,5347.9184±1262.5929,0.8054±0.0045,3.1136±0.0727,3.1136±0.0727,1006.2276±117.9840,562.8473±31.9665,0.5482±0.0355,0.4805±0.0408
online_news_popularity,-2.1276±2.9120,0.0141±0.0133,10765.8492±4164.8429,6814.9073±1406.5034,103.3988±4.4122,0.4760±0.0118,2432.9814±84.5295,0.0126±0.0000,1.1920±0.0980,0.1336±0.0059,15297.0801±432.0773,0.8272±0.0113,10.0224±0.6566,10.0224±0.6566,39463.0453±1978.3830,36800.6875±1748.0616,0.4080±0.0367,0.9607±0.0220
online_shoppers,-0.1215±0.0414,-0.2138±0.1901,0.4561±0.0173,0.4728±0.0333,223.1926±342.1669,0.5112±0.0206,38.2159±5.2698,0.0257±0.0010,1.3090±0.5424,0.0781±0.0133,176.0630±60.0934,0.7482±0.0383,3.5258±0.5368,3.5258±0.5368,39.3523±1.6199,18.9962±1.9026,0.5187±0.0468,0.4935±0.0366
